Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
p453-low-rise-cheeky-panty,P453 Low Rise Cheeky Panty,"<p>From the Caribbean Crush collection by Magic Silk, this style includes: an airy mesh and lace low rise cheeky panty with a delicate satin bow in front.</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Aqua Glow,Size,Queen Size,,,MS-P453AQU2XL,,shopify,216,deny,manual,23.99,,TRUE,TRUE,671241127551.0,https://www.magicsilk.com/uploads/wholesale-images/P453AQU2XL_1.jpg,1,P453 Low Rise Cheeky Panty,FALSE,P453 Low Rise Cheeky Panty,"From the Caribbean Crush collection by Magic Silk, this style includes: an airy mesh and lace low rise cheeky panty with a delicate satin bow in front.",Apparel & Accessories > Clothing > Lingerie,,,671241127551.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/P453AQU2XL_1.jpg,g,,7.95,TRUE,,,TRUE,,,active
p453-low-rise-cheeky-panty,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/P453AQU2XL_2.jpg,2,P453 Low Rise Cheeky Panty - Back View,,,,,,,,,,,,,,,,,,,,
p453-low-rise-cheeky-panty,,,,,,,,,Aqua Glow,,L/XL,,,MS-P453AQULRG,,shopify,323,deny,manual,22.99,,TRUE,TRUE,671241127544.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/P453AQU_1.jpg,g,,6.95,,,,,,,
p453-low-rise-cheeky-panty,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/P453AQU_2.jpg,2,P453 Low Rise Cheeky Panty - Back View,,,,,,,,,,,,,,,,,,,,
p453-low-rise-cheeky-panty,,,,,,,,,Aqua Glow,,S/M,,,MS-P453AQUMED,,shopify,324,deny,manual,22.99,,TRUE,TRUE,671241127537.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/P453AQU_1.jpg,g,,6.95,,,,,,,
p453-low-rise-cheeky-panty,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/P453AQU_2.jpg,2,P453 Low Rise Cheeky Panty - Back View,,,,,,,,,,,,,,,,,,,,
m361-cupless-baby-doll-harness-panty-removable-garter-cuffs,"M361 Cupless Baby Doll, Harness Panty & Removable Garter Cuffs","<p>From the Pink Kink collection by Magic Silk, this style includes: a soft and stretchy mesh cupless baby doll with ruffle trim, adjustable shoulder straps, a delicate satin bow at the center, a harness panty with removable garter thigh cuffs, and silver tone hardware. As an added bonus, this set includes a 15ML Coochy Cream in Frosted Cake scent. This ultra-moisturizing shave cream prevents irritation and doubles as a luxurious hair conditioner, leaving skin irresistibly smooth with notes of vanilla, buttercream, and lilac.</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Pink Glow,Size,Queen Size,,,MS-M361PIN2XL,,shopify,73,deny,manual,40.99,,TRUE,TRUE,671241127582.0,https://www.magicsilk.com/uploads/wholesale-images/M361PIN2XL_1.jpg,1,"M361 Cupless Baby Doll, Harness Panty & Removable Garter Cuffs",FALSE,"M361 Cupless Baby Doll, Harness Panty & Removable Garter Cuffs","From the Pink Kink collection by Magic Silk, this style includes: a soft and stretchy mesh cupless baby doll with ruffle trim, adjustable shoulder straps, a delicate satin bow at the center, a harness panty with removable garter thigh cuffs, and silver tone hardware. As an added bonus, this set includes a 15ML Coochy Cream in Frosted Cake scent. This ultra-moisturizing shave cream prevents irritation and doubles as a luxurious hair conditioner, leaving skin irresistibly smooth with notes of vanilla, buttercream, and lilac.",Apparel & Accessories > Clothing > Lingerie,,,671241127582.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/M361PIN2XL_1.jpg,g,,17.95,TRUE,,,TRUE,,,active
m361-cupless-baby-doll-harness-panty-removable-garter-cuffs,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M361PIN2XL_2.jpg,2,"M361 Cupless Baby Doll, Harness Panty & Removable Garter Cuffs - Back View",,,,,,,,,,,,,,,,,,,,
m361-cupless-baby-doll-harness-panty-removable-garter-cuffs,,,,,,,,,Pink Glow,,L/XL,,,MS-M361PINLRG,,shopify,139,deny,manual,37.99,,TRUE,TRUE,671241127575.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M361PIN_1.jpg,g,,15.95,,,,,,,
m361-cupless-baby-doll-harness-panty-removable-garter-cuffs,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M361PIN_2.jpg,2,"M361 Cupless Baby Doll, Harness Panty & Removable Garter Cuffs - Back View",,,,,,,,,,,,,,,,,,,,
m361-cupless-baby-doll-harness-panty-removable-garter-cuffs,,,,,,,,,Pink Glow,,S/M,,,MS-M361PINMED,,shopify,118,deny,manual,37.99,,TRUE,TRUE,671241127568.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M361PIN_1.jpg,g,,15.95,,,,,,,
m361-cupless-baby-doll-harness-panty-removable-garter-cuffs,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M361PIN_2.jpg,2,"M361 Cupless Baby Doll, Harness Panty & Removable Garter Cuffs - Back View",,,,,,,,,,,,,,,,,,,,
m362-harness-top-open-crotch-skirt-panty-choker-set,"M362 Harness Top, Open Crotch Skirt Panty & Choker Set","<p>From the Pink Kink collection by Magic Silk, this style includes: a harness top with ruffle trim at the waist, adjustable shoulder straps, a delicate satin bow, silver tone hardware, swan hook back closure, an open crotch mesh skirt panty adorned with satin bows, and a choker collar with an O-ring detail, and a swan hook back closure. As an added bonus, this set includes a 15ML Coochy Cream in Frosted Cake scent. This ultra-moisturizing shave cream prevents irritation and doubles as a luxurious hair conditioner, leaving skin irresistibly smooth with notes of vanilla, buttercream, and lilac.</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Pink Glow,Size,Queen Size,,,MS-M362PIN2XL,,shopify,203,deny,manual,37.99,,TRUE,TRUE,671241127612.0,https://www.magicsilk.com/uploads/wholesale-images/M362PIN2XL_1.jpg,1,"M362 Harness Top, Open Crotch Skirt Panty & Choker Set",FALSE,"M362 Harness Top, Open Crotch Skirt Panty & Choker Set","From the Pink Kink collection by Magic Silk, this style includes: a harness top with ruffle trim at the waist, adjustable shoulder straps, a delicate satin bow, silver tone hardware, swan hook back closure, an open crotch mesh skirt panty adorned with satin bows, and a choker collar with an O-ring detail, and a swan hook back closure. As an added bonus, this set includes a 15ML Coochy Cream in Frosted Cake scent. This ultra-moisturizing shave cream prevents irritation and doubles as a luxurious hair conditioner, leaving skin irresistibly smooth with notes of vanilla, buttercream, and lilac.",Apparel & Accessories > Clothing > Lingerie,,,671241127612.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/M362PIN2XL_1.jpg,g,,15.95,TRUE,,,TRUE,,,active
m362-harness-top-open-crotch-skirt-panty-choker-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M362PIN2XL_2.jpg,2,"M362 Harness Top, Open Crotch Skirt Panty & Choker Set - Back View",,,,,,,,,,,,,,,,,,,,
m362-harness-top-open-crotch-skirt-panty-choker-set,,,,,,,,,Pink Glow,,L/XL,,,MS-M362PINLRG,,shopify,187,deny,manual,33.99,,TRUE,TRUE,671241127605.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M362PIN_1.jpg,g,,13.95,,,,,,,
m362-harness-top-open-crotch-skirt-panty-choker-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M362PIN_2.jpg,2,"M362 Harness Top, Open Crotch Skirt Panty & Choker Set - Back View",,,,,,,,,,,,,,,,,,,,
m362-harness-top-open-crotch-skirt-panty-choker-set,,,,,,,,,Pink Glow,,S/M,,,MS-M362PINMED,,shopify,179,deny,manual,33.99,,TRUE,TRUE,671241127599.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M362PIN_1.jpg,g,,13.95,,,,,,,
m362-harness-top-open-crotch-skirt-panty-choker-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M362PIN_2.jpg,2,"M362 Harness Top, Open Crotch Skirt Panty & Choker Set - Back View",,,,,,,,,,,,,,,,,,,,
m363-bralette-high-leg-panty-garter-skirt-set,"M363 Bralette, High Leg Panty & Garter Skirt Set","<p>From the Pink Kink collection by Magic Silk, this style includes: a soft and stretchy mesh bralette with ruffle trim, adjustable shoulder straps, silver tone hardware, a delicate satin bow at the center, swan hook back closure, a high-waisted garter skirt with strappy detail, adjustable straps, swan hook back closure, and a high leg mesh panty. As an added bonus, this set includes a 15ML Coochy Cream in Frosted Cake scent. This ultra-moisturizing shave cream prevents irritation and doubles as a luxurious hair conditioner, leaving skin irresistibly smooth with notes of vanilla, buttercream, and lilac.</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Pink Glow,Size,Queen Size,,,MS-M363PIN2XL,,shopify,147,deny,manual,45.99,,TRUE,TRUE,671241127643.0,https://www.magicsilk.com/uploads/wholesale-images/M363PIN2XL_1.jpg,1,"M363 Bralette, High Leg Panty & Garter Skirt Set",FALSE,"M363 Bralette, High Leg Panty & Garter Skirt Set","From the Pink Kink collection by Magic Silk, this style includes: a soft and stretchy mesh bralette with ruffle trim, adjustable shoulder straps, silver tone hardware, a delicate satin bow at the center, swan hook back closure, a high-waisted garter skirt with strappy detail, adjustable straps, swan hook back closure, and a high leg mesh panty. As an added bonus, this set includes a 15ML Coochy Cream in Frosted Cake scent. This ultra-moisturizing shave cream prevents irritation and doubles as a luxurious hair conditioner, leaving skin irresistibly smooth with notes of vanilla, buttercream, and lilac.",Apparel & Accessories > Clothing > Lingerie,,,671241127643.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/M363PIN2XL_1.jpg,g,,20.95,TRUE,,,TRUE,,,active
m363-bralette-high-leg-panty-garter-skirt-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M363PIN2XL_2.jpg,2,"M363 Bralette, High Leg Panty & Garter Skirt Set - Back View",,,,,,,,,,,,,,,,,,,,
m363-bralette-high-leg-panty-garter-skirt-set,,,,,,,,,Pink Glow,,L/XL,,,MS-M363PINLRG,,shopify,219,deny,manual,42.99,,TRUE,TRUE,671241127636.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M363PIN_1.jpg,g,,18.95,,,,,,,
